province,procedure,year,volume,p50_wait_days,p90_wait_days,pct_meeting_benchmark,pop_65plus,pop_source,pop_vintage,procedures_per_100k_65plus,rate_basis,reporting_window,provenance,provenance_flag,confidence_interval,cihi_table,cihi_sheet,cihi_source_rows
Alberta,Hip,2020,1584.0,187.0,379.0,48.9,606936,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",261.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9194;9195;9196;9197
British Columbia,Hip,2020,2466.0,158.0,329.0,57.9,982576,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",251.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9282;9283;9284;9285
Manitoba,Hip,2020,719.0,196.0,389.0,47.0,222516,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",323.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9418;9419;9420;9421
New Brunswick,Hip,2020,446.0,268.0,547.0,29.0,172296,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",258.9,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9506;9507;9508;9509
Newfoundland and Labrador,Hip,2020,163.0,204.0,380.0,45.0,118470,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",137.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9570;9571;9572;9573
Nova Scotia,Hip,2020,390.0,190.0,474.0,47.0,210159,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",185.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9658;9659;9660;9661
Ontario,Hip,2020,5281.0,141.0,321.0,63.9462223063814,2587513,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",204.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9738;9739;9740;9741
Prince Edward Island,Hip,2020,119.0,155.6,462.5,56.3,31993,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",372.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9834;9835;9836;9837
Quebec,Hip,2020,2193.0,163.0,342.0,55.7,1673371,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",131.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,9890;9891;9892;9893
Saskatchewan,Hip,2020,462.0,235.5,482.0,40.4761904761905,192121,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",240.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10082;10083;10084;10085
