province,procedure,year,volume,p50_wait_days,p90_wait_days,pct_meeting_benchmark,pop_65plus,pop_source,pop_vintage,procedures_per_100k_65plus,rate_basis,reporting_window,provenance,provenance_flag,confidence_interval,cihi_table,cihi_sheet,cihi_source_rows
Alberta,Hip,2020,3846.0,176.0,382.0,51.6,606936,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,633.7,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12066;12067;12068;12069
British Columbia,Hip,2020,6378.0,135.0,322.0,63.5,982576,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,649.1,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12106;12107;12108;12109
Manitoba,Hip,2020,1357.0,174.0,413.0,52.0,222516,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,609.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12146;12147;12148;12149
New Brunswick,Hip,2020,1108.0,265.0,511.0,36.0,172296,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,643.1,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12186;12187;12188;12189
Newfoundland and Labrador,Hip,2020,366.0,155.0,426.0,56.0,118470,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,308.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12230;12231;12232;12233
Nova Scotia,Hip,2020,1258.0,153.0,569.0,56.2,210159,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,598.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12270;12271;12272;12273
Ontario,Hip,2020,15381.0,99.0,329.0,71.6598400624147,2587513,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,594.4,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12310;12311;12312;12313
Prince Edward Island,Hip,2020,261.0,166.4,441.1,53.8,31993,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,815.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12354;12355;12356;12357
Quebec,Hip,2020,6078.0,161.0,370.0,55.5116814741691,1673371,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,363.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12394;12395;12396;12397
Saskatchewan,Hip,2020,1105.0,226.0,502.0,43.5294117647059,192121,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,575.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12434;12435;12436;12437
Alberta,Hip,2021,3988.0,179.0,427.0,51.2,636049,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,627.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12962;12963;12964;12965
British Columbia,Hip,2021,6603.0,113.0,295.0,71.3009238225049,1018096,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,648.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13002;13003;13004;13005
Manitoba,Hip,2021,1464.0,179.0,478.0,51.0,229374,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,638.3,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13042;13043;13044;13045
