REF_DATE,GEO,Age group,VALUE
2007,Newfoundland and Labrador,All ages,509047
2007,Newfoundland and Labrador,65 to 69 years,22707
2007,Newfoundland and Labrador,70 to 74 years,17685
2007,Newfoundland and Labrador,75 to 79 years,13443
2007,Newfoundland and Labrador,80 to 84 years,9309
2007,Newfoundland and Labrador,85 to 89 years,5515
2007,Newfoundland and Labrador,65 years and older,71099
2007,Newfoundland and Labrador,90 years and older,2440
2007,Prince Edward Island,All ages,137709
2007,Prince Edward Island,65 to 69 years,5982
2007,Prince Edward Island,70 to 74 years,5053
2007,Prince Edward Island,75 to 79 years,3814
2007,Prince Edward Island,80 to 84 years,2883
2007,Prince Edward Island,85 to 89 years,1772
2007,Prince Edward Island,65 years and older,20490
2007,Prince Edward Island,90 years and older,986
2007,Nova Scotia,All ages,935164
2007,Nova Scotia,65 to 69 years,41638
2007,Nova Scotia,70 to 74 years,33022
2007,Nova Scotia,75 to 79 years,26676
2007,Nova Scotia,80 to 84 years,19465
2007,Nova Scotia,85 to 89 years,12563
2007,Nova Scotia,65 years and older,139975
2007,Nova Scotia,90 years and older,6611
2007,New Brunswick,All ages,745430
2007,New Brunswick,65 to 69 years,32878
2007,New Brunswick,70 to 74 years,25502
2007,New Brunswick,75 to 79 years,21122
2007,New Brunswick,80 to 84 years,15967
2007,New Brunswick,85 to 89 years,9809
2007,New Brunswick,65 years and older,110296
2007,New Brunswick,90 years and older,5018
2007,Quebec,All ages,7692400
2007,Quebec,65 to 69 years,329499
2007,Quebec,70 to 74 years,261880
2007,Quebec,75 to 79 years,223221
2007,Quebec,80 to 84 years,156813
2007,Quebec,85 to 89 years,83862
2007,Quebec,65 years and older,1094060
2007,Quebec,90 years and older,38785
2007,Ontario,All ages,12765133
2007,Ontario,65 to 69 years,484742
2007,Ontario,70 to 74 years,403292
2007,Ontario,75 to 79 years,344043
2007,Ontario,80 to 84 years,254311
2007,Ontario,85 to 89 years,138369
2007,Ontario,65 years and older,1689833
2007,Ontario,90 years and older,65076
2007,Manitoba,All ages,1189446
2007,Manitoba,65 to 69 years,43450
2007,Manitoba,70 to 74 years,36103
2007,Manitoba,75 to 79 years,32502
2007,Manitoba,80 to 84 years,26000
2007,Manitoba,85 to 89 years,16028
2007,Manitoba,65 years and older,162968
2007,Manitoba,90 years and older,8885
2007,Saskatchewan,All ages,1002074
2007,Saskatchewan,65 to 69 years,37791
2007,Saskatchewan,70 to 74 years,33247
2007,Saskatchewan,75 to 79 years,30320
2007,Saskatchewan,80 to 84 years,24012
2007,Saskatchewan,85 to 89 years,15302
2007,Saskatchewan,65 years and older,149601
2007,Saskatchewan,90 years and older,8929
2007,Alberta,All ages,3514151
2007,Alberta,65 to 69 years,106959
2007,Alberta,70 to 74 years,87267
2007,Alberta,75 to 79 years,73303
2007,Alberta,80 to 84 years,51330
2007,Alberta,85 to 89 years,29797
2007,Alberta,65 years and older,363480
2007,Alberta,90 years and older,14824
2007,British Columbia,All ages,4290987
2007,British Columbia,65 to 69 years,176825
2007,British Columbia,70 to 74 years,144573
2007,British Columbia,75 to 79 years,122090
2007,British Columbia,80 to 84 years,90157
2007,British Columbia,85 to 89 years,53675
2007,British Columbia,65 years and older,613847
2007,British Columbia,90 years and older,26527
2008,Newfoundland and Labrador,All ages,511569
2008,Newfoundland and Labrador,65 to 69 years,23863
2008,Newfoundland and Labrador,70 to 74 years,18123
2008,Newfoundland and Labrador,75 to 79 years,13784
2008,Newfoundland and Labrador,80 to 84 years,9378
2008,Newfoundland and Labrador,85 to 89 years,5553
2008,Newfoundland and Labrador,65 years and older,73210
2008,Newfoundland and Labrador,90 years and older,2509
2008,Prince Edward Island,All ages,138736
2008,Prince Edward Island,65 to 69 years,6204
2008,Prince Edward Island,70 to 74 years,5059
2008,Prince Edward Island,75 to 79 years,3983
2008,Prince Edward Island,80 to 84 years,2869
2008,Prince Edward Island,85 to 89 years,1850
2008,Prince Edward Island,65 years and older,20944
2008,Prince Edward Island,90 years and older,979
2008,Nova Scotia,All ages,935965
2008,Nova Scotia,65 to 69 years,43549
2008,Nova Scotia,70 to 74 years,33546
2008,Nova Scotia,75 to 79 years,26930
2008,Nova Scotia,80 to 84 years,19562
2008,Nova Scotia,85 to 89 years,12776
2008,Nova Scotia,65 years and older,143163
2008,Nova Scotia,90 years and older,6800
2008,New Brunswick,All ages,746875
2008,New Brunswick,65 to 69 years,34369
2008,New Brunswick,70 to 74 years,25890
2008,New Brunswick,75 to 79 years,21213
2008,New Brunswick,80 to 84 years,16115
2008,New Brunswick,85 to 89 years,10045
2008,New Brunswick,65 years and older,112819
2008,New Brunswick,90 years and older,5187
2008,Quebec,All ages,7761614
2008,Quebec,65 to 69 years,347670
2008,Quebec,70 to 74 years,264190
2008,Quebec,75 to 79 years,227006
2008,Quebec,80 to 84 years,161630
2008,Quebec,85 to 89 years,89110
2008,Quebec,65 years and older,1131063
2008,Quebec,90 years and older,41457
2008,Ontario,All ages,12883824
2008,Ontario,65 to 69 years,505456
2008,Ontario,70 to 74 years,409087
2008,Ontario,75 to 79 years,347635
2008,Ontario,80 to 84 years,258296
2008,Ontario,85 to 89 years,147745
2008,Ontario,65 years and older,1735231
2008,Ontario,90 years and older,67012
2008,Manitoba,All ages,1197767
